composition,exact_match_found,close_analogue_found,novelty_score_0_5,novelty_class,prior_art_summary,source_urls,recommendation
Na2.88Sb0.88W0.12S4,True,False,1,Known Benchmark,Exact composition found in literature. (Invited) Strategies for Enhancing the Stability of the Electrode-Electrolyte Interphase in Sulfide-Based Solid-State Batteries; A sodium-ion sulfide ...,"https://iopscience.iop.org/article/10.1149/MA2023-02170mtgabs, https://www.emobility-engineering.com/sulfide-solid-electrolyte-solid-state-batteries/, https://omu.repo.nii.ac.jp/record/2001038/files/2024000425.pdf, https://www.nature.com/articles/s41467-019-13178-2",Exclude or treat as benchmark
Li6.6P0.4Ge0.6S5I,False,False,4,Novel Composition,no exact match found in searched sources,"https://publikationen.bibliothek.kit.edu/1000153936/150607355, https://juser.fz-juelich.de/record/907891/files/Manuscript.pdf, https://www.nature.com/articles/s41467-024-52412-4, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012",Top priority for validation (Highly Novel)
Li2.8In0.2Sc0.2Yb0.2Lu0.2Zr0.2Cl6,False,False,4,Novel Composition,no exact match found in searched sources,"https://link.springer.com/10.1007/s10008-024-06180-2, https://repository.tudelft.nl/file/File_17a0f1b8-c368-47a0-926e-baf183aa5bd4?preview=1, https://www.osti.gov/servlets/purl/2470285, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012",Top priority for validation (Highly Novel)
Li6PS5Cl0.5Br0.5,True,False,2,Proposed (Exact Match Found),Exact composition found in literature. Effect of Pressure and Temperature on the Performance of Argyrodite Li6PS5Cl0.5Br0.5 Electrolyte for All-Solid-State Lithium Battery; Environmental St...,"https://www.msesupplies.com/products/ampcera-argyrodite-li6ps5cl0-5br0-5-sulfide-solid-electrolyte-fine-powder-d50-5-um, https://www.mdpi.com/1996-1073/18/13/3391, https://pubs.rsc.org/en/content/articlelanding/2025/qm/d5qm00394f, https://asmedigitalcollection.asme.org/IMECE/proceedings/IMECE2021/85635/V08AT08A044/1132910",Consider for secondary tier (proposed but maybe underexplored)
Li6PS5Br,True,False,1,Known Benchmark,"Exact composition found in literature. Revealing the relation between the structure, Li-ion conductivity and solid-state battery performance of the argyrodite Li6PS5Br solid electrolyte; Gr...","https://xlink.rsc.org/?DOI=C7TA05031C, https://www.msesupplies.com/products/ampcera-argyrodite-li-sub-6-sub-ps-sub-5-sub-br-sulfide-solid-electrolyte-pass-325-mesh-d50-10-um-coarse-powder, https://advanced.onlinelibrary.wiley.com/doi/10.1002/admi.202400423, https://pubs.rsc.org/en/content/articlelanding/2017/ta/c7ta05031c",Exclude or treat as benchmark
Na2.88Sb0.88Mo0.12S4,False,False,4,Novel Composition,no exact match found in searched sources,"https://link.springer.com/10.1007/s10008-024-06180-2, https://pubs.rsc.org/en/content/articlepdf/2026/sc/d5sc09154c, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubs.acs.org/doi/10.1021/acs.chemmater.2c00944",Top priority for validation (Highly Novel)
Li6.25P0.75Si0.25S5I,False,False,4,Novel Composition,no exact match found in searched sources,"https://juser.fz-juelich.de/record/907891/files/Manuscript.pdf, https://www.nature.com/articles/s41467-024-52412-4, https://pubs.acs.org/doi/10.1021/acssuschemeng.0c05549, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012",Top priority for validation (Highly Novel)
"Na3SbSe3S (Na3SbSe3S1, x=1 in Na3SbSe4-xSx)",False,False,4,Novel Composition,no exact match found in searched sources,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10646287/, https://pubs.rsc.org/en/content/articlelanding/2018/ta/c7ta09242c, https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202202354, https://users.wfu.edu/natalie/papers/Na3SbS4/PhysRevMaterials.1.075405.pdf",Top priority for validation (Highly Novel)
Na3PSe4,True,False,1,Known Benchmark,Exact composition found in literature. Investigation of Low-Energy Lattice Dynamics and Their Role in Superionic Na Diffusion and Ultralow Thermal Conductivity of Na3PSe4 as a Solid-State E...,"https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.201570133, https://pubs.acs.org/doi/10.1021/acs.chemmater.4c01553, https://ceder.berkeley.edu/publications/2015_Bo_cubic_Na3PSe4.pdf",Exclude or treat as benchmark
LiHfFCl4 (Li-stuffed variant),False,False,4,Novel Composition,no exact match found in searched sources,"https://pubmed.ncbi.nlm.nih.gov/38652868/, https://pubmed.ncbi.nlm.nih.gov/21253642/, https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202400165, https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/batt.202500358",Top priority for validation (Highly Novel)
