final_rank,composition,prototype_structure_type,space_group,mobile_ion,predicted_sigma_S_cm,reported_conductivity_mS_cm,sigma_basis,activation_energy_eV,stability_window_V,oxidative_limit_V,reductive_limit_V,band_gap_eV,ehull_meV_atom,migration_proxy_score,novelty_score_0_5,novelty_class,tier_assignment,priority_tier_refined,final_priority_score,rationale,li_metal_compatibility,graphite_compatibility,lini_o2_compatibility,lico_o2_compatibility,candidate_source_urls,stability_source_urls,novelty_source_urls
1,Li2.8In0.2Sc0.2Yb0.2Lu0.2Zr0.2Cl6,"High-entropy monoclinic C2/m (ccp Cl, stacking faults)","C2/m (No. 12), disordered",Li+,0.00213,2.13,experimental/literature,not reported in extracted table,0.6-4.3 (est. from Li3MCl6 chloride family),4.3 (est.),0.6 (est.),~5.0 (weighted average of constituent chlorides),~20 (estimated; near-stable by ionic potential guidance),86.0,4.0,Novel Composition,Tier 1A,Tier 1A-Novel,170.7,High configurational entropy (5 M-cation species) promotes stacking faults and 3D diffusion vs. 2D in Li3InCl6. Ionic potential descriptor guides phase stability. 2.13 mS/cm > 1.27 mS/cm for Li3InCl6. Multiple additional HE compositions unexplored.,Poor - halide SEs form LiCl+metal (In/Sc/Zr) upon Li contact; exothermic; LPSC protective interlayer required,Moderate - graphite at 0.1-0.2 V within reductive window estimate; interlayer recommended,Moderate - LiNiO2 at ~4.3 V borderline; halide+LiNiO2 DFT reaction energies >100 meV/atom (ESTIMATED unfavorable),Good - LiCoO2 at 4.2 V within oxidative window; chloride family compatibility well-established,https://pmc.ncbi.nlm.nih.gov/articles/PMC10844219/,https://pmc.ncbi.nlm.nih.gov/articles/PMC10844219/; https://www.osti.gov/pages/biblio/1810664; https://www.eng.uwo.ca/nanoenergy/publications/2022/pdf/Advanced-Materials---2022---Li---Highly-Stable-HalideElectrolyteBased-AllSolidState-Li-Se-Batteries1.pdf,"https://link.springer.com/10.1007/s10008-024-06180-2, https://repository.tudelft.nl/file/File_17a0f1b8-c368-47a0-926e-baf183aa5bd4?preview=1, https://www.osti.gov/servlets/purl/2470285, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012"
2,Li2.7In0.7Hf0.3Cl6,Monoclinic C2/m (ccp Cl sublattice),C2/m (No. 12),Li+,0.00128,1.28,experimental/literature,not available,2.68-4.22 (experimental CV measurement),4.22 (experimental),2.68 (experimental),"~5.0 (In-Hf-Cl framework, estimated)","<25 (near-stable, Hf concentration 0.1-0.5 reported stable)",82.5,4.0,Novel Composition,Tier 1A,Tier 1A-Novel,169.1,Low Hf content (x=0.3) enhances conductivity 28% over Li3InCl6 without sacrificing stability window (2.68-4.22 V). Aliovalent substitution creates extra Li vacancies. ccp Cl sublattice with monoclinic C2/m. Excellent candidate for further optimization x=0.2-0.5.,Poor - halide family In3+/Hf4+ reduction to metals+LiCl; requires LPSC or LiI interlayer,Moderate - graphite at 0.1-0.2 V below reductive limit 2.68 V; anode-side interlayer required,Moderate-Good - LiNiO2 at ~4.3 V marginally above 4.22 V; halide+LiNiO2 DFT rxn energies >100 meV/atom,Good - LiCoO2 at 4.22 V within measured stability window; halide LCO compatibility established for family,https://pubs.acs.org/doi/10.1021/acsami.2c21022,https://pubs.acs.org/doi/10.1021/acsami.2c21022; https://www.osti.gov/servlets/purl/2572328,"https://link.springer.com/10.1007/s10008-024-06180-2, https://pubs.acs.org/doi/10.1021/acssuschemeng.3c06652, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubs.rsc.org/en/content/articlepdf/2023/sc/d3sc02093b"
3,Li3YCl1.5Br4.5,"Trigonal/mixed-halide LYCB (P-3m1, hcp-like)",P-3m1 or distorted (No. 164),Li+,0.00536,5.36 (experimental peak at x~4.5 in Li3YCl6-xBrx series),experimental/literature,not available,0.59-3.15 (est. Br-dominant; Li3YBr6 DFT: 0.59-3.15 V),3.15 (est. Br-dominant endpoint),0.59 (est.),~5.3 (interpolated Cl/Br mix),~25 (interpolated from LYCB endpoints),79.0,4.0,Novel Composition,Tier 1A,Tier 1A-Novel,167.6,Systematic ML-MD and experiments show maximum conductivity in Li3YCl6-xBrx at x≈4.5. Cl/Br site disorder significantly expands diffusion pathways versus pure endpoints. Band gap ~5.3 eV exceeds threshold. Composition is underexplored beyond endpoints.,Poor - Y3+ reduction to Y+LiBr+LiCl confirmed by AIMD for Li3YClxBr; LPSC interlayer required,Moderate - graphite at 0.1-0.2 V; reductive limit 0.59 V near graphite; LPSC buffer recommended,Poor - oxidative limit ~3.15 V insufficient for LiNiO2 at 4.3 V,Moderate - LiCoO2 standard 4.0-4.2 V exceeds oxidative limit 3.15 V; lower voltage application only,https://arxiv.org/abs/2510.09861 ; https://pubmed.ncbi.nlm.nih.gov/30216562/,https://arxiv.org/abs/2510.09861; https://pubmed.ncbi.nlm.nih.gov/30216562/; https://pmc.ncbi.nlm.nih.gov/articles/PMC11503608/,"https://link.springer.com/10.1007/s10008-024-06180-2, https://www.sigmaaldrich.com/US/en/product/aldrich/940917, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubmed.ncbi.nlm.nih.gov/30216562/"
4,Li6.6P0.4Ge0.6S5I,"Argyrodite-type (Ge/P substituted, F-43m-related)","F-43m (No. 216, disordered)",Li+,0.0029,2.9,experimental/literature,<0.30 likely; not exact in extracted table,1.7-2.5 (thermodynamic); kinetic ~4.2 V practical,2.5 (thermodynamic); ~4.2 V kinetic,1.7 (thermodynamic),~2.6 (measured optical band gap ~2.5-2.8 for argyrodites),~15 (estimated; I-rich argyrodite near hull),87.0,4.0,Novel Composition,Tier 1A,Tier 1A-Novel,164.2,Ge4+ substitution at P5+ introduces extra Li (Li6.6). 2.9 mS/cm—highest in the study comparing Cl/I argyrodites and Ge/Si variants. I- provides large polarizable anion. Band gap slightly below 3.5 eV threshold. Practical synthesis demonstrated. Good template for further Ge loading.,Poor thermodynamic - Li2S+LiI+Li3P SEI; kinetically stabilized; LiF-rich coating or LPSC interlayer required,Good - graphite anode at 0.1-0.2 V within practical kinetic window; standard argyrodite strategy,Poor - exceeds thermodynamic oxidative limit; kinetic passivation limited; cathode coating required,Moderate - LiCoO2 at 4.2 V within practical kinetic window; partial argyrodite oxidation at interface; 300-cycle retention demonstrated for Cl/Ge analogue,https://juser.fz-juelich.de/record/907891/files/Manuscript.pdf,https://juser.fz-juelich.de/record/907891/files/Manuscript.pdf; https://pubs.acs.org/doi/abs/10.1021/acsenergylett.9b01693; https://hal.science/hal-01530952v1/file/Interface%20Stability%20of%20Argyrodite%20Li6PS5Cl%20towards%20LiCoO2.pdf; https://pubs.rsc.org/en/content/articlehtml/2025/eb/d5eb00101c,"https://publikationen.bibliothek.kit.edu/1000153936/150607355, https://juser.fz-juelich.de/record/907891/files/Manuscript.pdf, https://www.nature.com/articles/s41467-024-52412-4, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012"
5,Li6.25P0.75Si0.25S5I,Argyrodite-type (Si/P substituted),"F-43m (No. 216, disordered)",Li+,0.0017,1.7,experimental/literature,not available,1.7-2.5 (thermodynamic); kinetic ~4.0-4.2 V practical,2.5 (thermodynamic); ~4.0-4.2 V kinetic,1.7 (thermodynamic),~2.7 (estimated similar to Ge variant),~17 (estimated),85.0,4.0,Novel Composition,Tier 1A,Tier 1A-Novel,163.2,Si4+ introduces Li+ excess (charge balance) boosting carrier density. 1.7 mS/cm confirmed experimentally. I- anion keeps bottleneck wide. Lower cost than Ge variant. Underexplored in terms of optimal Si content beyond x=0.25.,Poor thermodynamic - sulfide argyrodite family reduction; Li2S+LiI+Li3P SEI; kinetically limited,Good - graphite anode standard for argyrodites; within kinetic window,Poor without coating - same as Cl/Br variants; thermodynamically unstable,Moderate - LiCoO2 practical window cycling; related Ge-I analogue data extrapolated,https://juser.fz-juelich.de/record/907891/files/Manuscript.pdf,https://juser.fz-juelich.de/record/907891/files/Manuscript.pdf; https://pubs.rsc.org/en/content/articlehtml/2025/eb/d5eb00101c,"https://juser.fz-juelich.de/record/907891/files/Manuscript.pdf, https://www.nature.com/articles/s41467-024-52412-4, https://pubs.acs.org/doi/10.1021/acssuschemeng.0c05549, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012"
6,LiHfFCl4 (Li-stuffed variant),"LiMXCl4 non-close-packed (1D MX2Cl4 octahedral chains, Pnma-related)",Pnma or P1 (No. 62 or 2),Li+,0.1375,"137.5 (AIMD extrapolation, Li-stuffed; stoich ~10-20)",AIMD/literature prediction,<0.30 (AIMD-family; exact value not in table),1.66-4.20 (DFT r2SCAN; Jun et al. 2025 Matter),4.20 (DFT),1.66 (DFT),>5 (F introduces larger gap than O analogues),"12.2 (r2SCAN, without competing Li2HfCl6); 32.2 (with)",84.0,4.0,Novel Composition,Tier 1A (conditional; AIMD/predicted only),Tier 1A-Novel,159.8,LiMXCl4 family exhibits soft-cradle effect: MX2Cl4 octahedral chains tilt in concert with Li hops. LiHfFCl4 Li-stuffed variant predicted 137.5 mS/cm—highest in family. F-for-O substitution widens electrochemical window. E_hull 12-32 meV/atom depending on competing phases. Synthesis feasibility not yet proven experimentally.,Poor - reductive limit 1.66 V; incompatible with Li metal; Li2HfCl6+LiCl decomposition; requires anode-side SE,Moderate - graphite at 0.1-0.2 V below reductive limit 1.66 V; anode-side electrolyte buffer required,Moderate - oxidative 4.20 V borderline for LiNiO2 at 4.3 V; Cl- oxidation risk near upper cutoff,Good - LiCoO2 at 4.2 V within oxidative window; catholyte role viable,https://ceder.berkeley.edu/publications/2025_KyuJung_Grace_LiMXCL4.pdf ; https://kavli.berkeley.edu/publications/exploring-soft-cradle-effect-and-ionic-transport-mechanisms-limxcl4-superionic,https://ceder.berkeley.edu/publications/2025_KyuJung_Grace_LiMXCL4.pdf; https://kavli.berkeley.edu/publications/exploring-soft-cradle-effect-and-ionic-transport-mechanisms-limxcl4-superionic,"https://pubmed.ncbi.nlm.nih.gov/38652868/, https://pubmed.ncbi.nlm.nih.gov/21253642/, https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202400165, https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002/batt.202500358"
7,Na3GdBr3I3,Monoclinic C2/m (ccp Br/I mix),C2/m (No. 12),Na+,0.0075,7.5 (AIMD predicted),AIMD/literature prediction,<0.30 (AIMD-predicted family),~0.5-3.5 (est. from Na3MX6 Br/I family; Na halide trends),3.5 (est.),0.5 (est.),~4 (estimated; Gd-Br/I framework),<30 (estimated from constituent stability),83.0,4.0,Novel Composition,Tier 1A (conditional; AIMD/predicted only),Tier 1A-Novel,159.4,Mixed Br/I anion in C2/m monoclinic structure (same as Li3InCl6 topology but for Na). 7.5 mS/cm at 300 K predicted—highest in Na3MX6 series studied. Ea 0.21 eV. The Gd-I6 analogue gives 0.59 mS/cm; Br3I3 mix gives 13x improvement via disorder and bottleneck tuning. Na halide electrolytes remain far less explored than Li analogues.,N/A (Na system),N/A (Na system),Poor - oxidative ~3.5 V insufficient for oxide cathodes >3.6 V,N/A (Na system; analogous NaCrO2 cathode within window estimate),https://pubs.rsc.org/en/content/getauthorversionpdf/D2TA05158C,https://pubs.rsc.org/en/content/getauthorversionpdf/D2TA05158C; https://pmc.ncbi.nlm.nih.gov/articles/PMC7902639/,"https://pubs.rsc.org/en/content/articlepdf/2025/eb/d5eb00064e, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubs.rsc.org/en/content/getauthorversionpdf/D2TA05158C, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428"
8,LiZrFCl4,"LiMXCl4 non-close-packed (1D chains, Pnma-related)",Pnma or P1 (est.),Li+,0.055,10-100 (projected from MNC analysis),AIMD/literature prediction,<0.30 (projected MNC family),2.20-4.06 (DFT r2SCAN; Jun 2025 Matter),4.06 (DFT),2.20 (DFT est.),>5 (F-Cl blend; Zr wide-gap d0),"23.7 (r2SCAN, without Li2ZrCl6); 38 (with)",82.5,4.0,Novel Composition,Tier 1A (conditional; AIMD/predicted only),Tier 1A-Novel,159.1,Zr-analogue of LiHfFCl4. Zr is more earth-abundant. E_hull ~24-38 meV/atom (r2SCAN). Fluorination widens electrochemical window vs. LiZrOCl4. Soft-cradle octahedral tilting mechanism. High conductivity predicted.,Poor - reductive limit 2.20 V; Zr4+ reduction to Zr+LiCl/LiF; incompatible with Li metal; anode-side SE required,Moderate - graphite at 0.1-0.2 V below limit 2.20 V; anode-side interlayer required,Moderate - LiNiO2 at 4.3 V exceeds 4.06 V oxidative limit; borderline; Cl- oxidation risk,Good - LiCoO2 at 4.06 V within window; catholyte role viable,https://ceder.berkeley.edu/publications/2025_KyuJung_Grace_LiMXCL4.pdf,https://ceder.berkeley.edu/publications/2025_KyuJung_Grace_LiMXCL4.pdf,"https://ceder.berkeley.edu/publications/2025_KyuJung_Grace_LiMXCL4.pdf, https://pubmed.ncbi.nlm.nih.gov/42026068/, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428"
9,Na3YBr3I3,Monoclinic C2/m (ccp Br/I mix),C2/m (No. 12),Na+,0.0033,3.3 (AIMD predicted),AIMD/literature prediction,<0.30 (AIMD-predicted family),~0.5-3.5 (est. from Na halide Br/I family; Gd analogue),3.5 (est.),0.5 (est.),~4.2 (estimated Y-Br/I),<30 (estimated),81.5,4.0,Novel Composition,Tier 1A (conditional; AIMD/predicted only),Tier 1A-Novel,158.7,Y analogue of GdBr3I3. 3.3 mS/cm predicted. Br/I disorder critical for mS/cm range. Y is more abundant and cheaper than Gd. C2/m structure with 3D Na+ pathways. Unexplored experimentally.,N/A (Na system),N/A (Na system),Poor - oxidative ~3.5 V insufficient for high-V Na oxide cathodes,N/A (Na system); NaCrO2-class cathodes within window estimate,https://pubs.rsc.org/en/content/getauthorversionpdf/D2TA05158C,https://pubs.rsc.org/en/content/getauthorversionpdf/D2TA05158C,"https://pmc.ncbi.nlm.nih.gov/articles/PMC12913362/, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://pubs.rsc.org/en/content/getauthorversionpdf/D2TA05158C, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428"
10,Li3Er0.5Sc0.5Cl6,Monoclinic C2/m (ccp Cl; mixed Er/Sc cation disorder),"C2/m (No. 12, predicted)",Li+,0.001,>1 (predicted from ionic potential analysis; ccp should yield ~mS/cm range),AIMD/literature prediction,not available,0.6-4.3 (est.; chloride family interpolation),4.3 (est.),0.6 (est.),~5.5 (Er/Sc chlorides both wide-gap),<35 (estimated from constituent stability),79.5,4.0,Novel Composition,Tier 1A (conditional; AIMD/predicted only),Tier 1A-Novel,157.8,Er3+ and Sc3+ have similar ionic radii. Mixed cation at M-site should promote ccp Cl stacking over hcp (analogous to Y1-xInxCl6 series). ccp sublattice is key for >1 mS/cm. Novel composition—literature shows Li3MCl6 for pure Er or Sc but not mixed. Ionic potential between 2.7-3.5 suggests C2/m phase.,Poor - halide family reduction; Er3+/Sc3+ to metals+LiCl; LPSC interlayer,Moderate - graphite viable with interlayer,Moderate - LiNiO2 borderline at ~4.3 V; chloride family +Li3MCl6 DFT data,Good - LiCoO2 within window; chloride family validated,https://pubs.acs.org/doi/abs/10.1021/acs.chemmater.1c00555 ; https://www.eng.uwo.ca/nanoenergy/publications/2020/pdf/Xiaona-2020-Nano-letter.pdf,https://pubs.acs.org/doi/abs/10.1021/acs.chemmater.1c00555; https://www.eng.uwo.ca/nanoenergy/publications/2020/pdf/Xiaona-2020-Nano-letter.pdf,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10011600/, https://pubs.rsc.org/en/content/articlelanding/2024/ee/d4ee03289f, https://pubs.acs.org/doi/10.1021/acs.chemrev.4c01012, https://onlinelibrary.wiley.com/doi/10.1002/anie.202401428"
